
%NQSII(INFO): ------- Output from job:0000 -------
       1.750s 0001 Spinup Function norm 2.228472721859e+01
       1.761s 0002 Spinup Function norm 1.286500993446e+01
       1.710s 0000 Spinup Function norm 4.328962677595e+01
       1.717s 0001 Spinup Function norm 2.228472721859e+01
       1.720s 0002 Spinup Function norm 1.286500993446e+01
       1.690s 0000 Spinup Function norm 4.328962677595e+01
       1.695s 0001 Spinup Function norm 2.228472721859e+01
       1.675s 0002 Spinup Function norm 1.286500993446e+01
       1.670s 0000 Spinup Function norm 4.328962677595e+01
       1.653s 0001 Spinup Function norm 2.228472721859e+01
       1.652s 0002 Spinup Function norm 1.286500993446e+01
       1.708s 0000 Spinup Function norm 4.328962677595e+01
       1.674s 0001 Spinup Function norm 2.228472721859e+01
       1.674s 0002 Spinup Function norm 1.286500993446e+01
       1.645s 0000 Spinup Function norm 4.328962677595e+01
       1.639s 0001 Spinup Function norm 2.228472721859e+01
       1.640s 0002 Spinup Function norm 1.286500993446e+01
       1.641s 0000 Spinup Function norm 4.328962677595e+01
       1.650s 0001 Spinup Function norm 2.228472721859e+01
       1.630s 0002 Spinup Function norm 1.286500993446e+01
       1.618s 0000 Spinup Function norm 4.328962677595e+01
       1.605s 0001 Spinup Function norm 2.228472721859e+01
       1.603s 0002 Spinup Function norm 1.286500993446e+01
       1.611s 0000 Spinup Function norm 4.328962677595e+01
       1.591s 0001 Spinup Function norm 2.228472721859e+01
       1.600s 0002 Spinup Function norm 1.286500993446e+01
       1.555s 0000 Spinup Function norm 4.328962677595e+01
       1.563s 0001 Spinup Function norm 2.228472721859e+01
       1.566s 0002 Spinup Function norm 1.286500993446e+01
       1.551s 0000 Spinup Function norm 4.328962677595e+01
       1.555s 0001 Spinup Function norm 2.228472721859e+01
       1.560s 0002 Spinup Function norm 1.286500993446e+01
       1.533s 0000 Spinup Function norm 4.328962677595e+01
       1.532s 0001 Spinup Function norm 2.228472721859e+01
       1.526s 0002 Spinup Function norm 1.286500993446e+01
       1.532s 0000 Spinup Function norm 4.328962677595e+01
       1.528s 0001 Spinup Function norm 2.228472721859e+01
       1.517s 0002 Spinup Function norm 1.286500993446e+01
       1.499s 0000 Spinup Function norm 4.328962677595e+01
       1.487s 0001 Spinup Function norm 2.228472721859e+01
       1.490s 0002 Spinup Function norm 1.286500993446e+01
       1.503s 0000 Spinup Function norm 4.328962677595e+01
       1.487s 0001 Spinup Function norm 2.228472721859e+01
       1.494s 0002 Spinup Function norm 1.286500993446e+01
       1.468s 0000 Spinup Function norm 4.328962677595e+01
       1.474s 0001 Spinup Function norm 2.228472721859e+01
       1.464s 0002 Spinup Function norm 1.286500993446e+01
       1.453s 0000 Spinup Function norm 4.328962677595e+01
       1.458s 0001 Spinup Function norm 2.228472721859e+01
       1.466s 0002 Spinup Function norm 1.286500993446e+01
       1.436s 0000 Spinup Function norm 4.328962677595e+01
       1.440s 0001 Spinup Function norm 2.228472721859e+01
       1.445s 0002 Spinup Function norm 1.286500993446e+01
       1.443s 0000 Spinup Function norm 4.328962677595e+01
       1.431s 0001 Spinup Function norm 2.228472721859e+01
       1.439s 0002 Spinup Function norm 1.286500993446e+01
       1.442s 0000 Spinup Function norm 4.328962677595e+01
       1.439s 0001 Spinup Function norm 2.228472721859e+01
       1.423s 0002 Spinup Function norm 1.286500993446e+01
       1.420s 0000 Spinup Function norm 4.328962677595e+01
       1.429s 0001 Spinup Function norm 2.228472721859e+01
       1.416s 0002 Spinup Function norm 1.286500993446e+01
       1.425s 0000 Spinup Function norm 4.328962677595e+01
       1.409s 0001 Spinup Function norm 2.228472721859e+01
       1.409s 0002 Spinup Function norm 1.286500993446e+01
       1.399s 0000 Spinup Function norm 4.328962677595e+01
       1.379s 0001 Spinup Function norm 2.228472721859e+01
       1.389s 0002 Spinup Function norm 1.286500993446e+01
       1.370s 0000 Spinup Function norm 4.328962677595e+01
       1.354s 0001 Spinup Function norm 2.228472721859e+01
       1.366s 0002 Spinup Function norm 1.286500993446e+01
       1.382s 0000 Spinup Function norm 4.328962677595e+01
       1.376s 0001 Spinup Function norm 2.228472721859e+01
       1.383s 0002 Spinup Function norm 1.286500993446e+01
       1.359s 0000 Spinup Function norm 4.328962677595e+01
       1.364s 0001 Spinup Function norm 2.228472721859e+01
       1.360s 0002 Spinup Function norm 1.286500993446e+01
       1.340s 0000 Spinup Function norm 4.328962677595e+01
       1.358s 0001 Spinup Function norm 2.228472721859e+01
       1.342s 0002 Spinup Function norm 1.286500993446e+01
       1.327s 0000 Spinup Function norm 4.328962677595e+01
       1.332s 0001 Spinup Function norm 2.228472721859e+01
       1.338s 0002 Spinup Function norm 1.286500993446e+01
       1.314s 0000 Spinup Function norm 4.328962677595e+01
       1.314s 0001 Spinup Function norm 2.228472721859e+01
       1.323s 0002 Spinup Function norm 1.286500993446e+01
       1.313s 0000 Spinup Function norm 4.328962677595e+01
       1.309s 0001 Spinup Function norm 2.228472721859e+01
       1.314s 0002 Spinup Function norm 1.286500993446e+01
       1.305s 0000 Spinup Function norm 4.328962677595e+01
       1.295s 0001 Spinup Function norm 2.228472721859e+01
       1.306s 0002 Spinup Function norm 1.286500993446e+01
       1.301s 0000 Spinup Function norm 4.328962677595e+01
       1.288s 0001 Spinup Function norm 2.228472721859e+01
       1.302s 0002 Spinup Function norm 1.286500993446e+01
       1.293s 0000 Spinup Function norm 4.328962677595e+01
       1.286s 0001 Spinup Function norm 2.228472721859e+01
       1.282s 0002 Spinup Function norm 1.286500993446e+01
       1.269s 0000 Spinup Function norm 4.328962677595e+01
       1.270s 0001 Spinup Function norm 2.228472721859e+01
       1.264s 0002 Spinup Function norm 1.286500993446e+01
       1.263s 0000 Spinup Function norm 4.328962677595e+01
       1.261s 0001 Spinup Function norm 2.228472721859e+01
       1.255s 0002 Spinup Function norm 1.286500993446e+01
       1.257s 0000 Spinup Function norm 4.328962677595e+01
       1.253s 0001 Spinup Function norm 2.228472721859e+01
       1.284s 0002 Spinup Function norm 1.286500993446e+01
       1.262s 0000 Spinup Function norm 4.328962677595e+01
